Alex Abrines,SG,OKC,0.381,406
Quincy Acy,PF,TOT,0.411,222
Steven Adams,C,OKC,0,905
Arron Afflalo,SG,SAC,0.411,515
Alexis Ajinca,C,NOP,0,207
Cole Aldrich,C,MIN,,105
LaMarcus Aldridge,PF,SAS,0.411,1243
Lavoy Allen,PF,IND,0,177
Tony Allen,SG,MEM,0.278,643
Al-Farouq Aminu,SF,POR,0.33,532
Chris Andersen,C,CLE,0,28
Alan Anderson,SF,LAC,0.318,86
Justin Anderson,SF,TOT,0.299,532
Kyle Anderson,SG,SAS,0.375,246
Ryan Anderson,PF,HOU,0.403,979
Giannis Antetokounmpo,SF,MIL,0.272,1832
Carmelo Anthony,SF,NYK,0.359,1659
Joel Anthony,C,SAS,,25
Trevor Ariza,SF,HOU,0.344,936
Darrell Arthur,PF,DEN,0.453,262
Omer Asik,C,NOP,,85
D.J. Augustin,PG,ORL,0.347,616
Luke Babbitt,SF,MIA,0.414,324
Ron Baker,SG,NYK,0.267,215
Wade Baldwin,PG,MEM,0.136,106
Leandro Barbosa,SG,PHO,0.357,419
J.J. Barea,PG,DAL,0.358,381
Harrison Barnes,PF,DAL,0.351,1518
Matt Barnes,SF,TOT,0.331,527
Will Barton,SG,DEN,0.37,820
Brandon Bass,PF,LAC,0.333,292
Nicolas Batum,SG,CHO,0.333,1164
Jerryd Bayless,PG,PHI,0.4,33
Aron Baynes,C,DET,,365
Kent Bazemore,SF,ATL,0.346,801
Bradley Beal,SG,WAS,0.404,1779
Malik Beasley,SG,DEN,0.321,83
Michael Beasley,PF,MIL,0.419,528
Marco Belinelli,SG,CHO,0.36,780
DeAndre' Bembry,SF,ATL,0.056,101
Dragan Bender,PF,PHO,0.277,146
Anthony Bennett,PF,BRK,0.271,115
Ben Bentil,PF,DAL,0,0
Davis Bertans,PF,SAS,0.399,303
Patrick Beverley,SG,HOU,0.382,639
Bismack Biyombo,C,ORL,,483
Nemanja Bjelica,PF,MIN,0.316,403
Tarik Black,C,LAL,0.5,383
Eric Bledsoe,PG,PHO,0.335,1390
Bojan Bogdanovic,SF,TOT,0.367,1113
Andrew Bogut,C,TOT,0,79
Joel Bolomboy,PF,UTA,0.25,22
Devin Booker,SG,PHO,0.363,1726
Trevor Booker,PF,BRK,0.321,709
Avery Bradley,SG,BOS,0.39,894
Corey Brewer,SF,TOT,0.229,371
Malcolm Brogdon,SG,MIL,0.404,767
Aaron Brooks,PG,IND,0.375,322
Anthony Brown,SF,TOT,0.259,43
Bobby Brown,PG,HOU,0.4,62
Jaylen Brown,SF,BOS,0.341,515
Nicolas Brussino,SF,DAL,0.305,150
Reggie Bullock,SF,DET,0.384,141
Trey Burke,PG,WAS,0.443,285
Alec Burks,SG,UTA,0.329,283
Jimmy Butler,SF,CHI,0.367,1816
Bruno Caboclo,SF,TOR,0.333,14
Jose Calderon,PG,TOT,0.313,141
Kentavious Caldwell-Pope,SG,DET,0.35,1047
Isaiah Canaan,SG,CHI,0.266,181
Clint Capela,C,HOU,,818
DeMarre Carroll,SF,TOR,0.341,638
Vince Carter,SF,MEM,0.378,586
Michael Carter-Williams,PG,CHI,0.234,297
Omri Casspi,SF,TOT,0.349,186
